Index,R,G,B
0,0,0,0
1,4,0,0
2,8,0,3
3,12,0,6
4,16,0,9
5,20,0,12
6,24,0,15
7,28,0,18
8,32,0,21
9,36,0,24
10,40,0,27
11,44,0,30
12,48,0,33
13,52,0,36
14,56,0,39
15,60,0,42
16,64,0,45
17,68,0,48
18,72,0,51
19,76,0,54
20,80,0,57
21,79,0,60
22,78,0,63
23,77,0,66
24,76,0,69
25,75,0,72
26,74,0,75
27,73,0,78
28,72,0,81
29,71,0,84
30,70,0,87
31,69,0,90
32,68,0,93
33,67,0,96
34,66,0,99
35,65,0,102
36,64,0,105
37,63,0,108
38,62,0,111
39,61,0,114
40,60,0,117
41,59,0,120
42,58,0,123
43,57,0,126
44,56,0,129
45,55,0,132
46,54,3,135
47,53,6,138
48,52,9,141
49,51,12,144
50,50,15,147
51,49,18,150
52,48,21,153
53,47,24,156
54,46,27,159
55,45,30,162
56,44,33,165
57,43,36,168
58,42,39,171
59,41,42,174
60,40,45,177
61,39,48,180
62,38,51,183
63,37,54,186
64,36,57,189
65,35,60,192
66,34,63,195
67,33,66,198
68,32,69,201
69,31,72,204
70,30,75,207
71,29,78,210
72,28,81,213
73,27,84,216
74,26,87,219
75,25,90,222
76,24,93,225
77,23,96,228
78,22,99,231
79,21,102,234
80,20,105,237
81,19,108,240
82,18,111,243
83,17,114,246
84,16,117,249
85,15,120,252
86,14,123,255
87,13,126,250
88,12,129,245
89,11,132,240
90,10,135,235
91,9,138,230
92,8,141,225
93,7,144,220
94,6,147,215
95,5,150,210
96,4,153,205
97,3,156,200
98,2,159,195
99,1,162,190
100,0,165,185
101,0,168,180
102,0,171,175
103,0,174,170
104,0,177,165
105,0,180,160
106,0,183,155
107,0,186,150
108,0,189,145
109,0,192,140
110,0,195,135
111,0,198,130
112,0,201,125
113,0,204,120
114,0,207,115
115,0,210,110
116,0,213,105
117,0,216,100
118,0,219,95
119,0,222,90
120,0,225,85
121,0,228,80
122,0,231,75
123,0,234,70
124,0,237,65
125,0,240,60
126,0,243,55
127,0,246,50
128,0,249,45
129,4,252,40
130,8,255,35
131,12,255,30
132,16,255,25
133,20,255,20
134,24,255,15
135,28,255,10
136,32,255,5
137,36,255,0
138,40,255,0
139,44,255,0
140,48,255,0
141,52,255,0
142,56,255,0
143,60,255,0
144,64,255,0
145,68,255,0
146,72,255,0
147,76,255,0
148,80,255,0
149,84,255,0
150,88,255,0
151,92,255,0
152,96,255,0
153,100,255,0
154,104,255,0
155,108,255,0
156,112,255,0
157,116,255,0
158,120,255,0
159,124,255,0
160,128,255,0
161,132,255,0
162,136,255,0
163,140,255,0
164,144,255,0
165,148,255,0
166,152,255,0
167,156,255,0
168,160,255,0
169,164,255,0
170,168,255,0
171,172,255,0
172,176,255,0
173,180,255,0
174,184,255,0
175,188,255,0
176,192,255,0
177,196,255,0
178,200,255,0
179,204,255,0
180,208,255,0
181,212,255,0
182,216,255,0
183,220,255,0
184,224,255,0
185,228,255,0
186,232,255,0
187,236,255,0
188,240,255,0
189,244,255,0
190,248,255,0
191,252,255,0
192,255,252,0
193,255,248,0
194,255,244,0
195,255,240,0
196,255,236,0
197,255,232,0
198,255,228,0
199,255,224,0
200,255,220,0
201,255,216,0
202,255,212,0
203,255,208,0
204,255,204,0
205,255,200,0
206,255,196,0
207,255,192,0
208,255,188,0
209,255,184,0
210,255,180,0
211,255,176,0
212,255,172,0
213,255,168,0
214,255,164,0
215,255,160,0
216,255,156,0
217,255,152,0
218,255,148,0
219,255,144,0
220,255,140,0
221,255,136,0
222,255,132,0
223,255,128,0
224,255,124,0
225,255,120,0
226,255,116,0
227,255,112,0
228,255,108,0
229,255,104,0
230,255,100,0
231,255,96,0
232,255,92,0
233,255,88,0
234,255,84,0
235,255,80,0
236,255,76,0
237,255,72,0
238,255,68,0
239,255,64,0
240,255,60,0
241,255,56,0
242,255,52,0
243,255,48,0
244,255,44,0
245,255,40,0
246,255,36,0
247,255,32,0
248,255,28,0
249,255,24,0
250,255,20,0
251,255,16,0
252,255,12,0
253,255,8,0
254,255,4,0
255,255,0,0
